CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
TCSSA001040,SSA,SECRETARIA DE SALUD,27,TABASCO,004,CENTRO,0001,VILLAHERMOSA,"HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DEL NIÑO ""DR. RODOLFO NIETO PADRÓN""",17.977151,-92.952873,
TCSSA001052,SSA,SECRETARIA DE SALUD,27,TABASCO,004,CENTRO,0001,VILLAHERMOSA,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. GUSTAVO A. ROVIROSA PÉREZ,18.0124021,-92.9242407,
TCSSA001064,SSA,SECRETARIA DE SALUD,27,TABASCO,004,CENTRO,0001,VILLAHERMOSA,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. JUAN GRAHAM CASASUS,17.9788909,-92.9862357,
TCSSA001076,SSA,SECRETARIA DE SALUD,27,TABASCO,004,CENTRO,0001,VILLAHERMOSA,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE LA MUJER,17.976466,-92.95339,
TCSSA003922,SSA,SECRETARIA DE SALUD,27,TABASCO,012,MACUSPANA,0141,LA ESCALERA,HOSPITAL GENERAL DE VILLA BENITO JUÁREZ,17.8447,-92.5293,
TCSSA017420,SSA,SECRETARIA DE SALUD,27,TABASCO,005,COMALCALCO,0001,COMALCALCO,"HOSPITAL GENERAL ""DR. DESIDERIO G. ROSADO CARBAJAL""",18.2662319,-93.2319501,
TLIST000042,IST,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,29,TLAXCALA,033,TLAXCALA,0012,SAN GABRIEL CUAUHTLA,HG TLAXCALA,19.310708,-98.2366517,
TLSSA001142,SSA,SECRETARIA DE SALUD,29,TLAXCALA,033,TLAXCALA,0001,TLAXCALA DE XICOHTENCATL,H.G. TLAXCALA DE XICOHTENCATL,19.318608,-98.2440385,
TLSSA001376,SSA,SECRETARIA DE SALUD,29,TLAXCALA,038,TZOMPANTEPEC,0002,SAN ANDRES AHUASHUATEPEC,H.G.R. EMILIO SÁNCHEZ PIEDRAS,19.408775,-98.1179722,
TLSSA002344,SSA,SECRETARIA DE SALUD,29,TLAXCALA,002,APETATITLAN DE ANTONIO CARVAJAL,0003,SAN MATIAS TEPETOMATITLAN,HOSPITAL GENERAL TLAXCALA LIC. ANSELMO CERVANTES HERNANDEZ,19.3698807,-98.2164354,
TLSSA017645,SSA,SECRETARIA DE SALUD,29,TLAXCALA,002,APETATITLAN DE ANTONIO CARVAJAL,0003,SAN MATIAS TEPETOMATITLAN,HOSPITAL INFANTIL DE TLAXCALA,19.3683333,-98.2113333,
TLSSA017831,SSA,SECRETARIA DE SALUD,29,TLAXCALA,006,CALPULALPAN,0001,HEROICA CIUDAD DE CALPULALPAN,HOSPITAL GENERAL DE CALPULALPAN,19.5825618,-98.5367416,
TLSSA017913,SSA,SECRETARIA DE SALUD,29,TLAXCALA,002,APETATITLAN DE ANTONIO CARVAJAL,0003,SAN MATIAS TEPETOMATITLAN,HOSPITAL DE LA MUJER,19.3687028,-98.2125199,
TLSSA017983,SSA,SECRETARIA DE SALUD,29,TLAXCALA,013,HUAMANTLA,0001,HUAMANTLA,HOSPITAL GENERAL DE HUAMANTLA,19.3063,-97.9407917,
TSSSA000401,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,009,CIUDAD MADERO,0001,CIUDAD MADERO,HOSPITAL GENERAL CIVIL CIUDAD MADERO,22.254024,-97.823416,
TSSSA001031,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,022,MATAMOROS,0001,HEROICA MATAMOROS,HG HOSPITAL GENERAL DE MATAMOROS DR. ALFREDO PUMAREJO,25.8690129,-97.4966096,
TSSSA001550,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,027,NUEVO LAREDO,0001,NUEVO LAREDO,HOSPITAL GENERAL NUEVO LAREDO,27.485904,-99.504271,
TSSSA001562,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,027,NUEVO LAREDO,0001,NUEVO LAREDO,HOSPITAL GENERAL CIVIL NUEVO LAREDO,27.493243,-99.531614,
TSSSA001772,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,032,REYNOSA,0001,REYNOSA,HOSPITAL GENERAL REYNOSA DR. JOSÉ MARÍA CANTÚ GARZA,26.055749,-98.296918,
TSSSA002431,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,038,TAMPICO,0001,TAMPICO,HG HOSPITAL GENERAL TAMPICO DR. CARLOS CANSECO,22.252634,-97.8597915,
TSSSA002793,SSA,SECRETARIA DE SALUD,28,TAMAULIPAS,041,VICTORIA,0001,CIUDAD VICTORIA,HOSPITAL INFANTIL DE TAMAULIPAS,23.721794,-99.163718,
